title,location,price,property_type,bedrooms,bathrooms,toilets,added_date,updated_date,url,city,page
3 bedroom flat / apartment for sale,"Old Ikoyi, Ikoyi, Lagos","685,000,000",Flat / Apartment,3,3,4,26 Dec 2024,20 Feb 2026,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/ikoyi/old-ikoyi/2634971-top-luxury-off-plan-3-bedrooms-apartment-with-bq,lagos,1
6 bedroom detached duplex for sale,"VGC, Lekki, Lagos","600,000,000",Detached Duplex,6,6,7,21 Feb 2026,21 Feb 2026,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/lekki/victoria-garden-city/3353838-luxury-6-bedroom-detached-duplex-with-2-bqs-gym-pool-library,lagos,1
4 bedroom terraced duplex for sale,"Ikota, Lekki, Lagos","150,000,000",Terraced Duplex,4,4,5,06 Jan 2026,20 Jan 2026,https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/lekki/ikota/3280018-four-bedroom-terrace-duplex,lagos,1
5 bedroom semi-detached duplex for sale,"Cowrie Creek, Ikate, Lekki, Lagos","950,000,000",Semi-detached Duplex,5,5,6,05 Feb 2026,07 Feb 2026,https://nigeriapropertycentre.com/for-sale/houses/semi-detached-duplexes/lagos/lekki/ikate/3328651-luxury-five-bedroom-semi-detached-duplex,lagos,1
4 bedroom semi-detached duplex for sale,"Cowrie Creek, Ikate, Lekki, Lagos","1,000,000,000",Semi-detached Duplex,4,4,5,06 Feb 2026,07 Feb 2026,https://nigeriapropertycentre.com/for-sale/houses/semi-detached-duplexes/lagos/lekki/ikate/3330154-luxury-four-bedroom-semi-detached-duplex,lagos,1
4 bedroom semi-detached duplex for sale,"Ikota, Lekki, Lagos","210,000,000",Semi-detached Duplex,4,4,5,06 Feb 2026,07 Feb 2026,https://nigeriapropertycentre.com/for-sale/houses/semi-detached-duplexes/lagos/lekki/ikota/3330438-four-bedroom-semi-detached-duplex,lagos,1
4 bedroom semi-detached duplex for sale,"Ikota, Lekki, Lagos","300,000,000",Semi-detached Duplex,4,4,5,06 Feb 2026,11 Feb 2026,https://nigeriapropertycentre.com/for-sale/houses/semi-detached-duplexes/lagos/lekki/ikota/3330624-luxury-four-bedroom-semi-detached-duplex,lagos,1
6 bedroom detached duplex for sale,"Chevron, Lekki, Lagos","720,000,000",Detached Duplex,6,6,7,09 Feb 2026,11 Feb 2026,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/lekki/3334551-six-bedroom-fully-detached-duplex,lagos,1
2 bedroom flat / apartment for sale,"Lekki Phase 1, Lekki, Lagos","285,000,000",Flat / Apartment,2,2,3,12 Feb 2026,12 Feb 2026,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/lekki-phase-1/3339675-2-bedroom-with-bq,lagos,1
3 bedroom flat / apartment for sale,"Chevron, Lekki, Lagos","160,000,000",Flat / Apartment,3,3,4,20 Feb 2026,20 Feb 2026,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/3352161-three-bedroom-apartment,lagos,1
5 bedroom detached duplex for sale,"21 Olawale Onitiri Cole Avenue Off Admiralty Road, Lekki Phase 1, Lekki, Lagos","1,200,000,000",Detached Duplex,5,5,6,13 Nov 2025,02 Feb 2026,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/lekki/lekki-phase-1/3200477-luxury-5-bedroom-fully-detached-duplex,lagos,1
5 bedroom detached duplex for sale,"Chevron Toll Gate,orchid Road, Lekki, Lagos","390,000,000",Detached Duplex,5,5,6,14 Feb 2026,21 Feb 2026,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/lekki/3342781-distress-5-bedroom-detached-duplex-with-pool-bq-on-400sqm,lagos,1
Mixed-use land for sale,"Chevy View Estate Chevron, Lekki, Lagos","800,000,000",Mixed-use Land,,,,23 Feb 2026,23 Feb 2026,https://nigeriapropertycentre.com/for-sale/land/mixed-use-land/lagos/lekki/3355689-1500-sqm-bareland,lagos,1
Mixed-use land for sale,"Kayode Animashawun Street, Off Admiralty Way @, Lekki Phase 1, Lekki, Lagos","1,600,000",Mixed-use Land,,,,23 Feb 2026,23 Feb 2026,https://nigeriapropertycentre.com/for-sale/land/mixed-use-land/lagos/lekki/lekki-phase-1/3355687-2000sqms-each-opposite-joneer-hotel-on-kayode-animashawun-street-off,lagos,1
3 bedroom flat / apartment for sale,"Lekki Phase 1, Lekki, Lagos","260,000,000",Flat / Apartment,3,3,4,23 Feb 2026,23 Feb 2026,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/lekki-phase-1/3355685-well-built-3-bedroom-apartment-in-a-prime-location-suitable-to-invest,lagos,1
4 bedroom semi-detached duplex for sale,"Orchid Road, Lekki, Lagos","230,000,000",Semi-detached Duplex,4,4,5,23 Feb 2026,23 Feb 2026,https://nigeriapropertycentre.com/for-sale/houses/semi-detached-duplexes/lagos/lekki/3355684-4bedroom-semi-detached-duplex-with-bq,lagos,1
5 bedroom detached duplex for sale,"Ikota, Lekki, Lagos","550,000,000",Detached Duplex,5,6,6,21 Aug 2025,18 Feb 2026,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/lekki/ikota/3047715-direct-brief-newly-built-5-bedroom-fully-detached-duplex,lagos,1
5 bedroom detached duplex for sale,"Ologolo, Lekki, Lagos","450,000,000",Detached Duplex,5,5,5,21 Aug 2025,18 Feb 2026,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/lekki/ologolo/3047725-magnificient-5-bedroom-fully-detached-house-with-bq,lagos,1
2 bedroom flat / apartment for sale,"Yaba, Lagos","50,000,000",Flat / Apartment,2,2,3,23 Feb 2026,23 Feb 2026,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/yaba/3355679-20-years-long-lease-2-bedroom-apartment-in-a-good-location-to-invest,lagos,1
4 bedroom flat / apartment for sale,"Off Awolowo Road, Ikoyi, Lagos","1,150,000,000",Flat / Apartment,4,4,5,25 Aug 2025,13 Feb 2026,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/ikoyi/3053071-direct-brief-luxury-4-bedroom-penthouse-available,lagos,1
4 bedroom semi-detached duplex for sale,"Off Sanusi Fafunwa, Victoria Island (VI), Lagos","5,000,000,000",Semi-detached Duplex,4,4,5,16 Feb 2026,23 Feb 2026,https://nigeriapropertycentre.com/for-sale/houses/semi-detached-duplexes/lagos/victoria-island/3345649-land-building,lagos,1
5 bedroom detached duplex for sale,"3, Ota-iku, Ikate, Lekki, Lagos","450,000,000",Detached Duplex,5,5,5,14 Oct 2024,25 Jan 2026,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/lekki/ikate/2513084-exquisite-5-bedrooms-detached-duplex-with-bq,lagos,2
5 bedroom detached duplex for sale,"Lekki Phase 1, Lekki, Lagos","870,000,000",Detached Duplex,5,5,6,23 Feb 2026,23 Feb 2026,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/lekki/lekki-phase-1/3355692-5-bedroom-fully-detached-house-with-two-rooms-bq,lagos,2
Mixed-use land for sale,"Chevy View Estate Chevron, Lekki, Lagos","800,000,000",Mixed-use Land,,,,23 Feb 2026,23 Feb 2026,https://nigeriapropertycentre.com/for-sale/land/mixed-use-land/lagos/lekki/3355689-1500-sqm-bareland,lagos,2
Mixed-use land for sale,"Kayode Animashawun Street, Off Admiralty Way @, Lekki Phase 1, Lekki, Lagos","1,600,000",Mixed-use Land,,,,23 Feb 2026,23 Feb 2026,https://nigeriapropertycentre.com/for-sale/land/mixed-use-land/lagos/lekki/lekki-phase-1/3355687-2000sqms-land,lagos,2
3 bedroom house for sale,"Royal Estate Close To Egbeda, Alimosho, Lagos","45,000,000",House,3,3,4,23 Feb 2026,23 Feb 2026,https://nigeriapropertycentre.com/for-sale/houses/lagos/alimosho/3355686-smart-cheapest-3-bedroom-bungalow,lagos,2
3 bedroom flat / apartment for sale,"Lekki Phase 1, Lekki, Lagos","260,000,000",Flat / Apartment,3,3,4,23 Feb 2026,23 Feb 2026,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/lekki-phase-1/3355685-well-built-3-bedroom-apartment,lagos,2
