title,property_type,location,price,bedrooms,bathrooms,toilets,added_date,updated_date
"For sale: Magnificent 5 Beds With A Private Pool, Exterior Lounge, Cinema & Gym, Study",House,Osapa London Lekki Lagos,"₦1,550,000,000",5,,,18 Jan 2026,18 Feb 2026
For sale: The Most Affordable Lands In Ibeju Lekki Both Commercial And Residential With Initial Deposit Of 5m Oakley Estate,Land,Eleko Ibeju Lekki Lagos,"₦32,000,000",,,,04 Oct 2024,18 Feb 2026
For sale: Landed Property,Land,New Airport✈️ Ibeju Lekki Eleko Ibeju Lekki Lagos,"₦35,000,000",0,0,0,21 Nov 2024,18 Feb 2026
For sale: Luxurious 5bedroom Fully Detached Duplex At Discounted Price Of 450m Instead Of 500m..,House,Freedom Way Lekki Phase I Lekki Phase 1 Lagos,"₦450,000,000",5,5,6,04 Dec 2024,18 Feb 2026
"For sale: Offplan Project, With Initial Deposit Of 15m And Also Mortgage Plan, So You Pay 1m Monthly And Own This Duplex.",House,Abraham Adesanya Estate Abraham Adesanya Ajah Lagos,"₦70,000,000",3,3,4,21 Jan 2025,18 Feb 2026
For sale: The Most Affordable Offplan Project In Ajah 2bed 45m And 3bed.apartment 60m And 12months Plan,Flat & Apartment,Ajah Shop Rite Sangotedo Ajah Lagos,"₦45,000,000",2,2,3,21 Feb 2025,18 Feb 2026
For sale: Luxurious 4bedeoom Fully Detached With Penthouse At Ajah170m Pay And Pack In,House,Abraham Adesanya Ajah Lagos,"₦170,000,000",4,4,5,21 Feb 2025,18 Feb 2026
For sale: The Most Affordable Bungalow And Land Both Commercial Plots And Residential Plotsat Mowe Golf Town.,Land,Mowe Golf Town Lagos Extension Ogun,"₦15,500,000",,,,02 Apr 2025,18 Feb 2026
For sale: The Most Affordable Luxurious 4bedroom Semi Detached In Ajah.,House,Before Shop Rite Ajah Sangotedo Ajah Lagos,"₦120,000,000",4,4,5,19 Apr 2025,18 Feb 2026
For sale: The Best And Affordable 4bed Fully Detached Duplex At Ajah With Bq,House,Bogijie Ajah Lagos,"₦145,000,000",4,4,5,07 Dec 2025,18 Feb 2026
For shortlet: Nicely Furnished 3 Bedroom Apartment Shortlet In Ikeja,Flat & Apartment,Allen Avenue Ikeja Lagos,"₦180,000/day",3,3,1,13 Oct 2025,18 Feb 2026
"For sale: The Most Spacious, Luxury And Affordable 4bedroom Penthouse At Orchid , Pay And Pack In",Flat & Apartment,Orchid Road Lekki Phase 2 Lagos,"₦110,000,000",4,4,5,13 Dec 2025,18 Feb 2026
